#CL_Utilization###
BackR_3R_Sw_L;Backrest_3row_switch_left;Lehnenverstellungschalter_3Reihe_links;mixed;S;BI
BackR_3R_Sw_R;Backrest_3row_switch_right;Lehnenverstellungschalter_3Reihe_rechts;mixed;S;BI
BackR_3R_warn_LED_L;Backrest_3row_warning_LED_left;Lehnenverstellung_3Reihe_Warn_LED_links;mixed;S;BI
BackR_3R_warn_LED_R;Backrest_3row_warning_LED_right;Lehnenverstellung_3Reihe_Warn_LED_rechts;mixed;S;BI
Backrest_State_LED_FL;Backrest_state_LED_front_left;Lehnenverriegelung_LED_vorn_links;mixed;S;BI
Backrest_State_LED_FR;Backrest_state_LED_front_right;Lehnenverriegelung_LED_vorn_rechts;mixed;S;BI
BaHumSe;Back_Humidity_Sensor;Lehne_Feuchte_Sensor;mixed;M;IN
B_AMP_FRT-;B_AMP_FRT-;B_AMP_FRT-;mixed;S;BI
B_AMP_FRT+;B_AMP_FRT+;B_AMP_FRT+;mixed;S;BI
Bank_2_HV-;HV-Batterie_Bank2_-;HV-Batterie_Bank2_-;HV;S;BI
BAT;High_voltage_battery;Hochvolt-Batterie;HV;H;BI
Bat;High voltage output contact resistor;HV Minus Kontakt Widerstand;HV;H;OUT
BAT+;Battery voltage system plus;Batterie Pluspfad;HV;H;OUT
Bat-;Battery voltage system minus;Batterie Minuspfad;HV;H;OUT
BAT_D_12V-;Battery_disconnect__12V_-;Batterieabtrennung__12V_-;DC;S;IN
BAT_D_12V+;Battery_disconnect__12V_+;Batterieabtrennung__12V_+;DC;S;OUT
Batt;Battery;Batterie;mixed;S;CRX
BATT+12V;BATT+12V;BATT+12V;DC;V;OUT
BATTERY_GND;BATTERY_GND;BATTERY_GND;DC;S;BI
BattGND;Battery Ground;Batterie Masse_Minuspol;mixed;S;CRX
BattH8;Battery H8;Batterie H8;mixed;S;CRX
BattIsol;Battery Isolation;Isolation Batterie;mixed;S;CRX
BAVMotor_vor_hoch+;Comment;BAVMotor_vor_hoch+;mixed;S;BI
BAVMotor_zur_tief-;Redundancy;BAVMotor_zur_tief-;mixed;S;BI
BAV_SVS;BAV_SVS;BAV_SVS;mixed;S;CRX
BB+;Broadband +;Breirband +;mixed;S;CRX
BB-;Broadband -;Breitband -;mixed;S;CRX
BBT+;Broadband Speaker +;Breirband Lautsprecher +;mixed;S;CRX
BBT-;Broadband Speaker -;Breitband Lautsprecher -;mixed;S;CRX
BCM_Sub_CAN_H;BCM_SUB_CAN_High;BCM_SUB_CAN_Plus;CAN;D;BI
BCM_Sub_CAN_L;BCM_SUB_CAN_Low;BCM_SUB_CAN_Minus;CAN;D;BI
B_D_LIN;B_D_LIN;B_D_LIN;DC;S;BI
BDM;battery data module;Batteriedatenmodul;mixed;S;OUT
Belegungssensor;Belegungssensor;Belegungssensor;mixed;S;IN
Belegungssensor+;Belegungssensor+;Belegungssensor+;mixed;S;BI
Belegungssensor_Masse;Belegungssensor_Masse;Belegungssensor_Masse;mixed;S;OUT
Beleuchtung_-;GND for outdoor handle lights;GND for outdoor handle lights;DC;M;CRX
Beleuchtung_+;Vcc for outdoor handle lights;Vcc for outdoor handle lights;DC;V;CRX
Beleuchtung;Uber plus for outdoor handle light;Uber plus for outdoor handle light;DC;V;CRX
Beleuchtung-;Outdoor handle light GND;Outdoor handle light GND;DC;M;CRX
Beleuch.Ub;Beleuchtung_Ub;Beleuchtung_Ub;DC;V;CRX
BFL_fD-;Belt_Force_Limiter_front_Driver-;Gurtkraftbegrenzung_vorn_Fahrerseite-;mixed;S;BI
BFL_fD+;Belt_Force_Limiter_front_Driver+;Gurtkraftbegrenzung_vorn_Fahrerseite+;mixed;S;BI
BFL_fP+;Belt_Force_Limiter_front_Passenger+;Gurtkraftbegrenzung_vorn_Beifahrerseite+;mixed;S;BI
BFL_fP-;Belt_Force_Limiter_front_passenger-;Gurtkraftbegrenzung_vorn_Beifahrerseite-;mixed;S;BI
BFL_LL_fD/LR_fP;Belt Force Limiter front Driver;Gurtkraftbegrenzer Fahrer vorne;mixed;S;OUT
BFL_LL_fP/LR_fD;Belt Force Limiter front Passenger;Gurtkraftbegrenzer Beifahrer vorne;mixed;S;OUT
BFLS;Break_fluid_sensor_supply;Bremsfluesigkeitssensor_Versorgung;DC;V;OUT
Binaercode;CodingPin;KodierPin;DC;S;BI
Binearcode;CodingPin;Kodierpin;mixed;S;IN
BIN_TI;BIN_Turn_Indicator;BIN_Fahrtrichtungsanzeiger;mixed;S;BI
Blbs_LED;Bulbs_Led;Glühlampen oder LED;mixed;S;CRX
BL_LED;BL_LED;BL_LED;mixed;S;BI
BLS;Brake light sensor;Bremslicht Sensor;mixed;S;CRX
Blth;Bluetooth;Bluetooth;mixed;S;CRX
Blth_sh;Antenna_Bluetooth_shield;Bluetoothantenne_Schirm;mixed;S;BI
Bluetooth_data;Bluetooth_data;Bluetooth_Daten;DC;S;BI
Bluetooth_shield;Bluetooth_shield;Bluetooth_Schirmung;DC;S;BI
BMS_30Q;inKlaerung;inKlaerung;mixed;V;BI
BPE_fD-;Belt_Pretensioner_End_front_Driver+;Endbeschlagstraffer_vorne_Fahrerseite-;mixed;S;BI
BPE_fD+;Belt_Pretensioner_End_front_Driver+;Endbeschlagstraffer_vorne_Fahrerseite+;mixed;S;BI
BPE_fP-;Belt_Pretensioner_End_front_Passenger+;Endbeschlagstraffer_vorne_Beifahrerseite-;mixed;S;BI
BPE_fP+;Belt_Pretensioner_End_front_Passenger+;Endbeschlagstraffer_vorne_Beifahrerseite+;mixed;S;BI
BPE_LL_fD/LR_fP;Belt Pretensioner End Front Driver;Endbeschlagstraffer Fahrerseite vorne;mixed;S;OUT
BPE_LL_fP/LR_fD;Belt Pretensioner End front Passenger;Endbeschlagstraffer Beifahrerseite vorne;mixed;S;OUT
BP_fD-;Belt_Pretensioner_front_Drive-;Gurtstraffer_Fahrerseite-;DC;S;OUT
